scenario,beta_hat
Exogenous treatment,1.0058002411763405
Exogenous treatment,1.0022887841489219
Exogenous treatment,1.009195258848421
Exogenous treatment,1.0328176548993107
Exogenous treatment,1.0109195816174532
Exogenous treatment,0.9934848844570152
Exogenous treatment,0.9684536792945075
Exogenous treatment,0.986721061708737
Exogenous treatment,1.0352066838325185
Exogenous treatment,1.0002504816683007
Exogenous treatment,0.9445560177517855
Exogenous treatment,1.0106761235703157
Exogenous treatment,1.0118172567062422
Exogenous treatment,1.0070833353671178
Exogenous treatment,1.0156421203381518
Exogenous treatment,1.0027614575326314
Exogenous treatment,1.0305355755338206
Exogenous treatment,0.9652417188429331
Exogenous treatment,0.9885549066222916
Exogenous treatment,0.9963764717492258
Exogenous treatment,0.959258247838356
Exogenous treatment,0.9956593499126093
Exogenous treatment,1.0557834117064306
Exogenous treatment,0.9643745258498214
Exogenous treatment,1.0319570827023723
Exogenous treatment,0.9335784201315521
Exogenous treatment,1.0175555575152857
Exogenous treatment,1.0108887956560175
Exogenous treatment,1.025009177616626
Exogenous treatment,1.0297260624340874
Exogenous treatment,1.0109819967996394
Exogenous treatment,1.0388552402656306
Exogenous treatment,0.9861297302819643
Exogenous treatment,0.9825585118889906
Exogenous treatment,0.9877719952289129
Exogenous treatment,0.9906093575324584
Exogenous treatment,0.9789263552077402
Exogenous treatment,1.0179756980747694
Exogenous treatment,1.02063727865514
Exogenous treatment,1.026231875167933
Exogenous treatment,1.0700299767495602
Exogenous treatment,1.0105247737198786
Exogenous treatment,0.9759993719092892
Exogenous treatment,0.9750978086307699
Exogenous treatment,1.0347998679497592
Exogenous treatment,0.9625882799159492
Exogenous treatment,0.9919324565589299
Exogenous treatment,0.9674575663975167
Exogenous treatment,0.9976203262734807
Exogenous treatment,1.0070115722460835
Exogenous treatment,1.033594844657659
Exogenous treatment,1.0010449931870482
Exogenous treatment,1.0141229075258609
Exogenous treatment,1.0337003924822379
Exogenous treatment,1.0112043309672423
Exogenous treatment,1.0036775161073876
Exogenous treatment,1.0101857254552609
Exogenous treatment,1.0118465586224819
Exogenous treatment,0.9859044214024641
Exogenous treatment,0.9961657006201207
Exogenous treatment,1.0796373373932182
Exogenous treatment,0.9865469418357341
Exogenous treatment,0.9503572138701643
Exogenous treatment,0.9836059089480007
Exogenous treatment,1.0112076063181101
Exogenous treatment,0.9966967958215291
Exogenous treatment,0.9780172320376601
Exogenous treatment,1.0005515939792322
Exogenous treatment,0.9945399252151237
Exogenous treatment,0.9918420779013624
Exogenous treatment,1.0073852622036816
Exogenous treatment,0.9818433830061578
Exogenous treatment,1.0386770645549828
Exogenous treatment,1.014796356291475
Exogenous treatment,0.9810247509292085
Exogenous treatment,1.015869841563694
Exogenous treatment,1.0304861294106593
Exogenous treatment,1.0297773470163463
Exogenous treatment,1.0216846588950315
Exogenous treatment,0.9951829365504125
Exogenous treatment,0.9887094930004922
Exogenous treatment,0.9982547452970812
Exogenous treatment,1.0164890205146806
Exogenous treatment,1.0014220874644546
Exogenous treatment,1.0015306261035828
Exogenous treatment,1.02913126197315
Exogenous treatment,0.9980026596304408
Exogenous treatment,1.018186569288132
Exogenous treatment,0.991931420019956
Exogenous treatment,1.03735858150394
Exogenous treatment,1.0031905435030106
Exogenous treatment,1.0163785705572272
Exogenous treatment,0.9926001246701617
Exogenous treatment,1.0018895705037631
Exogenous treatment,0.970553978689188
Exogenous treatment,1.0153236326933999
Exogenous treatment,1.0294191492296516
Exogenous treatment,1.0100468182319164
Exogenous treatment,1.0456356055188893
Exogenous treatment,1.0023576684710787
Exogenous treatment,0.9945977478644477
Exogenous treatment,0.9983823346787218
Exogenous treatment,1.0095707521747999
Exogenous treatment,0.9504420052449635
Exogenous treatment,1.0013903298443656
Exogenous treatment,0.9852532927263356
Exogenous treatment,1.0013801707293095
Exogenous treatment,0.934433052044626
Exogenous treatment,1.0096599713613095
Exogenous treatment,1.004347717608658
Exogenous treatment,0.9742388803206086
Exogenous treatment,0.9863813148452042
Exogenous treatment,1.0104666731716292
Exogenous treatment,0.9760855376666935
Exogenous treatment,1.0131876480985784
Exogenous treatment,1.0053678813888047
Exogenous treatment,1.0012903479158126
Exogenous treatment,0.9812131504206031
Exogenous treatment,0.9990208654072739
Treated post-trend,1.0534411151467027
Treated post-trend,1.0449159332043374
Treated post-trend,1.0227103917093814
Treated post-trend,1.1101393341884007
Treated post-trend,1.0771604215861206
Treated post-trend,1.0963331955894962
Treated post-trend,1.1125211367876227
Treated post-trend,1.0942363913479207
Treated post-trend,1.0495865260919222
Treated post-trend,1.0483936663807785
Treated post-trend,1.0531295921943398
Treated post-trend,1.0706563685876302
Treated post-trend,1.0348130679707666
Treated post-trend,1.0566026618920974
Treated post-trend,1.0651534973308339
Treated post-trend,1.066047309562284
Treated post-trend,1.10158795745909
Treated post-trend,1.0398055014723755
Treated post-trend,1.0805450731120159
Treated post-trend,1.0327671351556131
Treated post-trend,1.059938321724954
Treated post-trend,1.0700546258462258
Treated post-trend,1.0561944121341684
Treated post-trend,1.1173845167500867
Treated post-trend,1.0845871012516721
Treated post-trend,1.0884000823580855
Treated post-trend,1.0628760463263287
Treated post-trend,1.0804521365711055
Treated post-trend,1.0654146711404906
Treated post-trend,1.0796783961500696
Treated post-trend,1.041680763348872
Treated post-trend,1.1025726226570127
Treated post-trend,1.0983545978498261
Treated post-trend,1.0783508993829631
Treated post-trend,1.0749963756114918
Treated post-trend,1.0891190050143713
Treated post-trend,1.0924315986548698
Treated post-trend,1.0898092286898664
Treated post-trend,1.026142865950894
Treated post-trend,1.1003664602906458
Treated post-trend,1.0461050774102252
Treated post-trend,1.0620778723992268
Treated post-trend,1.121081328184369
Treated post-trend,1.0698425783728134
Treated post-trend,1.0517395270025496
Treated post-trend,1.0195547291786342
Treated post-trend,1.0760598977660367
Treated post-trend,1.0727269589810757
Treated post-trend,1.025932662950714
Treated post-trend,1.0860267236350891
Treated post-trend,1.054483173895378
Treated post-trend,1.047949418639328
Treated post-trend,1.0924967095165403
Treated post-trend,1.0229795035487403
Treated post-trend,1.0739711306017963
Treated post-trend,1.0939417509868516
Treated post-trend,1.0112227273326055
Treated post-trend,1.0036685421269027
Treated post-trend,1.0748478581980665
Treated post-trend,1.0599903551976457
Treated post-trend,1.0441771841674834
Treated post-trend,1.0736218135379245
Treated post-trend,1.0590613189734401
Treated post-trend,1.0176119773214092
Treated post-trend,1.0589320888557026
Treated post-trend,1.0864182137323934
Treated post-trend,1.0500942184378657
Treated post-trend,1.0560295380580262
Treated post-trend,1.0675569831839453
Treated post-trend,1.0705058843772026
Treated post-trend,1.0865784138933485
Treated post-trend,1.0424779450420054
Treated post-trend,1.0664308077710036
Treated post-trend,1.0851384593410973
Treated post-trend,1.0399287750525845
Treated post-trend,1.0847361146163692
Treated post-trend,1.0450440967573396
Treated post-trend,1.0789183435431857
Treated post-trend,1.0809050060631202
Treated post-trend,1.0871782541756994
Treated post-trend,1.0526283414586195
Treated post-trend,1.0726440180990466
Treated post-trend,1.027083530835848
Treated post-trend,1.061592935480808
Treated post-trend,1.1158741508061276
Treated post-trend,1.0868665204783294
Treated post-trend,1.067468951670282
Treated post-trend,1.044029695141787
Treated post-trend,1.0224612361141185
Treated post-trend,1.0594912166458919
Treated post-trend,1.0384117138978066
Treated post-trend,1.0524347803151857
Treated post-trend,1.052872593137311
Treated post-trend,1.0844766705092463
Treated post-trend,1.0492359487709362
Treated post-trend,1.0851327500445667
Treated post-trend,1.0978078913911253
Treated post-trend,1.1088458572930788
Treated post-trend,1.0265212507938937
Treated post-trend,1.0853731078041378
Treated post-trend,1.0337418645185508
Treated post-trend,1.0944863809235617
Treated post-trend,1.0827384048520245
Treated post-trend,1.0549354678845944
Treated post-trend,1.0721916056301608
Treated post-trend,1.0601813363112402
Treated post-trend,1.080034934757502
Treated post-trend,1.0915219532131297
Treated post-trend,1.0396228901061852
Treated post-trend,1.0930410810385727
Treated post-trend,1.0818798055200232
Treated post-trend,1.0573705897234977
Treated post-trend,1.0143582156566957
Treated post-trend,1.0719539106283191
Treated post-trend,1.0719203695916981
Treated post-trend,1.0927668947489508
Treated post-trend,1.0872851947505862
Treated post-trend,1.0771042334198366
Treated post-trend,1.0945516314951564
Treated post-trend,1.0861449590661527
Treated post-trend,1.0246965914551998
Treated post-trend,1.0371774548496133
Treated post-trend,1.081822907518882
Treated post-trend,1.0782551847515938
Treated post-trend,1.0516355157043498
Treated post-trend,1.0435464847163751
Treated post-trend,1.0676629891959035
Treated post-trend,1.0858238781203728
Treated post-trend,1.0600333764012437
Treated post-trend,1.0535930114158063
Treated post-trend,1.0316540740472904
Treated post-trend,1.0227370643184306
Treated post-trend,1.079155061933296
Treated post-trend,1.0591720266161704
Treated post-trend,1.0219496342244154
Treated post-trend,1.0529027340660948
Treated post-trend,1.0642040714413117
Treated post-trend,1.017587518034718
Treated post-trend,1.0878637767310804
Treated post-trend,1.073516622320759
Treated post-trend,1.1166741986047046
Treated post-trend,1.0771682208572497
Treated post-trend,1.0100818929377298
Treated post-trend,1.086544016761377
Treated post-trend,1.069417625423592
Treated post-trend,1.063876465220258
Treated post-trend,1.1045793937234516
Treated post-trend,1.0921338733254997
Treated post-trend,1.0858366403477278
Treated post-trend,1.0582668159328081
Treated post-trend,1.0429849130010354
Treated post-trend,1.0636120524906116
Treated post-trend,1.0738247804271293
Treated post-trend,1.1061637723789377
Treated post-trend,1.0530088810253613
Treated post-trend,1.0310190513522737
Treated post-trend,1.0684472608821196
Treated post-trend,1.1077230120909676
Treated post-trend,1.098705513402161
Treated post-trend,1.0732017895438832
