iso2_code,is_hardline,C,C#,C++,Go,Java,JavaScript,PHP,Python,Ruby,TypeScript,avg_weight
SY,True,0.02654556344885386,0.032209192883411154,0.03323561948814524,0.015247973668668664,0.030156068836651517,0.019141869157616082,0.03437354055438833,0.02693281675169405,0.02523783755315169,0.00882625458677287,0.025190673692935345
SO,False,0.022071455579100736,0.03127521280012635,0.030921533651446162,0.015246564621940519,0.030500213766287206,0.019496595374664298,0.03425362704360386,0.024157343773846932,0.02523783755315169,0.005713033733154973,0.02388734178973227
AF,False,0.022071510209503688,0.03127649682156163,0.030922057230448805,0.015258692208547498,0.030501285281785546,0.014552829523631104,0.03405457545434432,0.02556901366381673,0.02523783755315169,0.008348789795563905,0.02377930877423549
TM,True,0.022083925246881995,0.031275548047836894,0.030921747147008412,0.015253661325251947,0.03050123856423061,0.01793334270784805,0.034253803682532905,0.024158790817391165,0.02523783755315169,0.005732080445855158,0.02373519755379888
LY,False,0.022084272919300606,0.031274813015709134,0.030922873341637555,0.015255865545561579,0.030501819601622807,0.01778757087416633,0.03425578735916021,0.024157921423370952,0.02523783755315169,0.005703995447586093,0.023718275708126697
YE,False,0.022072228814451263,0.03127576916385213,0.03092196474417264,0.015253068808181716,0.03160277663651505,0.014212691388634912,0.03451896551811427,0.026347461643476202,0.02523783755315169,0.005703346311505882,0.023714611058205576
LA,False,0.022073100446795096,0.03127477284123079,0.030922826105714687,0.015246945601290942,0.030501777241079872,0.01681282542228783,0.03425570599333902,0.024158813861006358,0.02523783755315169,0.0057152059207043315,0.02361998109866006
CD,False,0.02207863012323556,0.03127473260859729,0.030922729072877565,0.015251616342843277,0.030501599516322787,0.01130765965645184,0.034205379415851916,0.024635520272373583,0.02523783755315169,0.006663814921955861,0.023207951948366137
SD,False,0.022080637603552562,0.031275169273947294,0.030921482458043832,0.015254107842896054,0.03050005863040543,0.011845204912901813,0.034065733651076804,0.024722007591836136,0.02523783755315169,0.00571719820143435,0.023161943771924598
BI,False,0.022083588745891884,0.031274692315962915,0.030922266050490404,0.01525532551727393,0.03050155712864389,0.011466673729036871,0.03425562432520681,0.024158027244294084,0.02523783755315169,0.005710079852105608,0.02308656724620581
TJ,True,0.022071863131512118,0.031275253441300124,0.03092169773841245,0.007891491256733779,0.030500956589897193,0.015619159542495773,0.034253717372734804,0.024157718645823025,0.02523783755315169,0.005722655695279466,0.022765235096734043
